policy = 2
core 0: 2.6658 IPC
core 0: 3.5510 IPC
core 0: 1.4667 IPC
core 0: 3.3126 IPC
core 0: 3.7107 IPC
core 0: 0.8235 IPC
core 0: 3.3816 IPC
core 0: 3.7149 IPC
core 0: 2.2697 IPC
core 0: 3.2849 IPC
core 0: 3.6524 IPC
core 0: 2.6268 IPC
core 0: 3.9170 IPC
core 0: 1.2539 IPC
core 0: 2.8117 IPC
core 0: 3.6452 IPC
core 0: 3.9772 IPC
core 0: 3.2379 IPC
core 0: 1.6021 IPC
core 0: 1.9549 IPC
core 0: 3.5191 IPC
core 0: 3.7199 IPC
core 0: 2.5054 IPC
core 0: 2.4843 IPC
core 0: 3.0964 IPC
core 0: 1.6852 IPC
core 0: 0.5167 IPC
